Rk,Player,Nation,Pos,Squad,Age,Born,Matches Played,Starts,Min,Total_Goals,Assits,G+A,Goal_without_Penalties,Penalty_Goals,Total_Penalties_Atemptted,Weekly Wages,Annual Wages
361,Morgan Gibbs-White,eng ENG,MF,Nott'ham Forest,24,2000,34,34,2803,7,8,15,7,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
362,Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2002,37,37,3114,8,10,18,8,0,0,"PS 75,000 (EUR 88,856, $91,594)","PS 3,900,000 (EUR 4,620,514, $4,762,884)"
363,Murillo,br BRA,DF,Nott'ham Forest,22,2002,36,36,3188,2,0,2,2,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
364,Mykhailo Mudryk,ua UKR,FW,Chelsea,23,2001,7,1,151,0,0,0,0,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
365,Myles Lewis-Skelly,eng ENG,DF,Arsenal,17,2006,23,15,1369,1,0,1,1,0,0,"PS 4,000 (EUR 4,740, $5,370)","PS 208,000 (EUR 246,470, $279,230)"
366,Nasser Djiga,bf BFA,DF,Wolves,21,2002,5,1,66,0,0,0,0,0,0,"PS 15,000 (EUR 17,774, $20,137)","PS 780,000 (EUR 924,261, $1,047,113)"
367,Nathan Ake,nl NED,DF,Manchester City,29,1995,10,8,678,0,0,0,0,0,0,"PS 160,000 (EUR 189,560, $195,400)","PS 8,320,000 (EUR 9,857,096, $10,160,818)"
368,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,18,7,702,2,0,2,2,0,0,"PS 6,000 (EUR 7,108, $7,328)","PS 312,000 (EUR 369,641, $381,031)"
369,Nathan Collins,ie IRL,DF,Brentford,23,2001,38,38,3420,2,3,5,2,0,0,"PS 30,000 (EUR 35,542, $36,638)","PS 1,560,000 (EUR 1,848,205, $1,905,153)"
370,Nathan Patterson,sct SCO,DF,Everton,22,2001,10,3,347,0,1,1,0,0,0,"PS 28,000 (EUR 33,173, $34,195)","PS 1,456,000 (EUR 1,724,992, $1,778,143)"
371,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,13,5,483,0,0,0,0,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
372,Neco Williams,wls WAL,DF,Nott'ham Forest,23,2001,35,28,2594,1,3,4,1,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
373,Nick Pope,eng ENG,GK,Newcastle Utd,32,1992,28,28,2520,0,0,0,0,0,0,"PS 60,000 (EUR 71,085, $73,275)","PS 3,120,000 (EUR 3,696,411, $3,810,307)"
374,Niclas Fullkrug,de GER,FW,West Ham,31,1993,18,6,790,3,2,5,3,0,0,"PS 90,000 (EUR 106,627, $109,913)","PS 4,680,000 (EUR 5,544,616, $5,715,460)"
375,Nicolas Jackson,sn SEN,FW,Chelsea,23,2001,30,28,2220,10,5,15,10,0,0,"PS 100,000 (EUR 118,475, $122,125)","PS 5,200,000 (EUR 6,160,685, $6,350,511)"
376,Nicolas Dominguez,ar ARG,"MF,FW",Nott'ham Forest,26,1998,34,23,1963,0,1,1,0,0,0,"PS 35,000 (EUR 41,466, $42,744)","PS 1,820,000 (EUR 2,156,240, $2,222,679)"
377,Nicolas Gonzalez,es ESP,MF,Manchester City,22,2002,11,9,760,1,0,1,1,0,0,"PS 60,000 (EUR 71,097, $80,547)","PS 3,120,000 (EUR 3,697,043, $4,188,452)"
378,Nikola Milenkovic,rs SRB,DF,Nott'ham Forest,26,1997,37,37,3330,5,2,7,5,0,0,"PS 105,000 (EUR 124,398, $128,231)","PS 5,460,000 (EUR 6,468,719, $6,668,037)"
379,Noni Madueke,eng ENG,FW,Chelsea,22,2002,32,27,2033,7,3,10,7,0,0,"PS 50,000 (EUR 59,237, $61,063)","PS 2,600,000 (EUR 3,080,342, $3,175,256)"
380,Noussair Mazraoui,ma MAR,DF,Manchester Utd,26,1997,37,34,2838,0,1,1,0,0,0,"PS 135,000 (EUR 159,941, $164,869)","PS 7,020,000 (EUR 8,316,925, $8,573,190)"
381,Nelson Semedo,pt POR,DF,Wolves,30,1993,34,32,2886,0,4,4,0,0,0,"PS 80,000 (EUR 94,780, $97,700)","PS 4,160,000 (EUR 4,928,548, $5,080,409)"
